タイトル,ふりがな,分類,現市町村,伝承地,キーワード,話者,採集者,引用,著者,論文名,著者・編者,文献名,出版社,和暦,西暦,リンク,県図書,デジコレ,備考
一万城,いちまんじょう,伝説,都城市,北諸縣郡,,,,,,九　北諸縣郡の傳說,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
都城の製茶,都城の製茶,伝説,都城市,北諸縣郡,,,,,,九　北諸縣郡の傳說,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
新霧島権現,しんきりしまごんげん,伝説,都城市,北諸縣郡,,,,,,九　北諸縣郡の傳說,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
天長寺の不動尊,天長寺の不動尊,伝説,都城市,北諸縣郡,,,,,,九　北諸縣郡の傳說,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
五十町の薬師堂,五十町の薬師堂,伝説,都城市,北諸縣郡,,,,,,九　北諸縣郡の傳說,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
荒人大明神,荒人大明神,伝説,都城市,北諸縣郡,,,,,,九　北諸縣郡の傳說,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
小山川原の戦,小山川原の戦,伝説,都城市,北諸縣郡,,,,,,九　北諸縣郡の傳說,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
諏方神社,諏方神社,伝説,都城市,北諸縣郡,,,,,,九　北諸縣郡の傳說,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
美少年曾山次十郎,美少年曾山次十郎,伝説,都城市,北諸縣郡,,,,,,九　北諸縣郡の傳說,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
山田城の戦,山田城の戦,伝説,都城市,北諸縣郡,,,,,,九　北諸縣郡の傳說,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
荒武神社,荒武神社,伝説,都城市,北諸縣郡,,,,,,九　北諸縣郡の傳說,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
東霧島神社,東霧島神社,伝説,都城市,北諸縣郡,,,,,,九　北諸縣郡の傳說,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
東霧島神社の裂盤,つまぎりしまじんじゃのきればん,伝説,都城市,北諸縣郡,,,,,,九　北諸縣郡の傳說,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
故有谷の神石,故有谷の神石,伝説,都城市,北諸縣郡,,,,,,九　北諸縣郡の傳說,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
神像の威力,神像の威力,伝説,都城市,北諸縣郡,,,,,,九　北諸縣郡の傳說,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
大井手の春日神社,大井手の春日神社,伝説,都城市,北諸縣郡,,,,,,九　北諸縣郡の傳說,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
南朝の忠臣肝属八郎,南朝の忠臣肝属八郎,伝説,都城市,北諸縣郡,,,,,,九　北諸縣郡の傳說,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
石山寺の実庵和尚,石山寺の実庵和尚,伝説,都城市,北諸縣郡,,,,,,九　北諸縣郡の傳說,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
井之城の深洞,井之城の深洞,伝説,都城市,北諸縣郡,,,,,,九　北諸縣郡の傳說,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
,,伝説,,,,,,,,一〇　日向の傳說補遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
河童と闘ふ（延岡）,河童と闘ふ（延岡）,伝説,延岡市,,河童、,,,,,一〇　日向の傳說補遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
海賀九門の墓（細島）,海賀九門の墓（細島）,伝説,日向市,,,,,,,一〇　日向の傳說補遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
臼杵統景の亡霊（高城）,臼杵統景の亡霊（高城）,伝説,木城町,,,,,,,一〇　日向の傳說補遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
牛の流行病（三納）,牛の流行病（三納）,伝説,西都市,,,,,,,一〇　日向の傳說補遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
雨乞の御利益（三納）,雨乞の御利益（三納）,伝説,西都市,,,,,,,一〇　日向の傳說補遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
侫臣保賀次郎（都於郡）,おもねしんほがじろう（とのこおり）,伝説,西都市,,,,,,,一〇　日向の傳說補遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
式部塚（鹿野田）,式部塚（鹿野田）,伝説,西都市,,,,,,,一〇　日向の傳說補遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
伊東家の陥落,伊東家の陥落,伝説,西都市,,,,,,,一〇　日向の傳說補遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
島津家萩を忌む（佐土原）,島津家萩を忌む（佐土原）,伝説,宮崎市,,,,,,,一〇　日向の傳說補遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
古い手振,古い手振,伝説,宮崎市,,,,,,,一〇　日向の傳說補遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
花ヶ島のおこり（花ヶ島）,花ヶ島のおこり（花ヶ島）,伝説,宮崎市,,,,,,,一〇　日向の傳說補遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
瓶の水（和知川原）,びんのみず（わちがわら）,伝説,宮崎市,,,,,,,一〇　日向の傳說補遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
伊東祐祟の赤江灘難船（内海）,伊東祐祟の赤江灘難船（内海）,伝説,宮崎市,,,,,,,一〇　日向の傳說補遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
伊武三省の詠歌（赤江）,伊武三省の詠歌（赤江）,伝説,宮崎市,,,,,,,一〇　日向の傳說補遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
飯野の風穴（飯野）,飯野の風穴（飯野）,伝説,小林市,,,,,,,一〇　日向の傳說補遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
霧島登山の故実,霧島登山の故実,伝説,,,,,,,,一〇　日向の傳說補遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
笠■岳大明神（福島）,笠■岳大明神（福島）,伝説,,,,,,,,一〇　日向の傳說補遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
景清（宮崎）,かげきよ（みやざき）,伝説,宮崎市,,,,,,,一〇　日向の傳說補遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
櫻川,櫻川,伝説,宮崎市,,,,,,,一〇　日向の傳說補遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
,,伝説,,,,,,,,一一　日向の傳說拾遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
天村雲命（西臼杵郡）,天村雲命（西臼杵郡）,伝説,,,,,,,,一一　日向の傳說拾遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
佐藤道元,さとうどうげん,伝説,,,,,,,,一一　日向の傳說拾遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
水無しの川,みずなしのかわ,伝説,,,,,,,,一一　日向の傳說拾遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
鞍岡の地名,鞍岡の地名,伝説,,,,,,,,一一　日向の傳說拾遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
芋の八重の地名,いものやえのちめい,伝説,,,,,,,,一一　日向の傳說拾遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
延岡の流灌頂（東臼杵郡）,のべおかのながれかんじょう（ひがしうすきぐん）,伝説,延岡市,,,,,,,一一　日向の傳說拾遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
延岡の時鐘,延岡の時鐘,伝説,延岡市,,,,,,,一一　日向の傳說拾遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
光勝寺の狸,みつかつてらのたぬき,伝説,延岡市,,,,,,,一一　日向の傳說拾遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
諏訪の分け口の人柱,すわのわけぐちのひとばしら,伝説,延岡市,,,,,,,一一　日向の傳說拾遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
御領塚の由来,御領塚の由来,伝説,延岡市,,,,,,,一一　日向の傳說拾遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
琴塚,琴塚,伝説,延岡市,,,,,,,一一　日向の傳說拾遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
酒井大明神,酒井大明神,伝説,延岡市,,,,,,,一一　日向の傳說拾遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
小梓の阿弥陀如来,小梓の阿弥陀如来,伝説,延岡市,,,,,,,一一　日向の傳說拾遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
西南戦争の片影,西南戦争の片影,伝説,延岡市,,,,,,,一一　日向の傳說拾遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
昔の東海港,昔の東海港,伝説,延岡市,,,,,,,一一　日向の傳說拾遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
くろがね岩あかがね岩,くろがね岩あかがね岩,伝説,,,,,,,,一一　日向の傳說拾遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
本宮大明神,本宮大明神,伝説,日向市,,,,,,,一一　日向の傳說拾遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
富高八幡神社,富高八幡神社,伝説,日向市,,,,,,,一一　日向の傳說拾遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
祐邑の祟りと日要上人,祐邑の祟りと日要上人,伝説,日向市,,,,,,,一一　日向の傳說拾遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
細島の淡島さん,細島の淡島さん,伝説,日向市,,,,,,,一一　日向の傳說拾遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
白帆ぎらひの尾鈴権現（児湯郡）,しらほぎらひのおすずごんげん（こゆぐん）,伝説,都農町,,,,,,,一一　日向の傳說拾遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
都農の濱下り,都農の濱下り,伝説,都農町,,浜下り,,,,,一一　日向の傳說拾遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
一宮東の宮の権現,一宮東の宮の権現,伝説,都農町,,,,,,,一一　日向の傳說拾遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
剣士治右衛門,剣士治右衛門,伝説,,,,,,,,一一　日向の傳說拾遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
湯の本の冷泉,ゆのほんのれいせん,伝説,,,,,,,,一一　日向の傳說拾遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
湯言寺山の黄金千枚,ゆげんてらやまのおうごん千まい,伝説,,,,,,,,一一　日向の傳說拾遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
日講上人,にっこうしょうにん,伝説,,,,,,,,一一　日向の傳說拾遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
三國大守の鐘の行方,三國大守の鐘の行方,伝説,,,,,,,,一一　日向の傳說拾遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
平原の神石（宮崎市郡）,へいげんのじんせき（みやざきしぐん）,伝説,宮崎市,,,,,,,一一　日向の傳說拾遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
恒久神社の由来,恒久神社の由来,伝説,宮崎市,,,,,赤江郷土史,,一一　日向の傳說拾遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
渡守の風流,渡守の風流,伝説,,,,,,,,一一　日向の傳說拾遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
黒荷田の蛇権現（南那珂郡）,黒荷田の蛇権現（南那珂郡）,伝説,,,,,,,,一一　日向の傳說拾遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
吉野方の大根川,吉野方の大根川,伝説,,,,,,,,一一　日向の傳說拾遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
岩折神社と市木神社,いわおりじんじゃといちきじんじゃ,伝説,,,,,,,,一一　日向の傳說拾遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
ちじゆ様,ちじゆ様,伝説,,,,,,,,一一　日向の傳說拾遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
永徳寺の芽師と宗近の址,えいとくじのめしとむねちかのあと,伝説,,,,,,,,一一　日向の傳說拾遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
福島沖の黒船,ふくしまおきのくろふね,伝説,,,,,,,,一一　日向の傳說拾遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
中別府の蛇王権現,中別府の蛇王権現,伝説,,,,,,,,一一　日向の傳說拾遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
八床の洞窟,八床の洞窟,伝説,,,,,,,,一一　日向の傳說拾遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
兼喜神社（北諸県郡）,兼喜神社（北諸県郡）,伝説,,,,,,,,一一　日向の傳說拾遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
静女の身投,静女の身投,伝説,,,,,,,,一一　日向の傳說拾遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
本永寺の黒本尊（東諸県郡）,本永寺の黒本尊（東諸県郡）,伝説,,,,,,,,一一　日向の傳說拾遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
去川関,去川関,伝説,,,,,,,,一一　日向の傳說拾遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
どほん堰（西諸県郡）,どほん堰（西諸県郡）,伝説,,,,,,,,一一　日向の傳說拾遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
南方神社の神様,南方神社の神様,伝説,,,,,,,,一一　日向の傳說拾遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
蛇ヶ淵,蛇ヶ淵,伝説,,,,,,,,一一　日向の傳說拾遺,鈴木健一郎,日向の伝説,文華堂,昭和 8,1933,https://dl.ndl.go.jp/pid/1458924,,,
魂，（俗信）,魂，（俗信）,その他,,えびの市,,,,,楢木範行,宮崎県眞幸村,,旅と伝説	6巻7号通巻67号,三元社,昭和8年,1933,怪異・妖怪伝承データベース,,,
,,伝説,,,,,,,,,菊池秋四郎,三弥物語,延岡新聞社,昭和 9,1934,,,,
皇祚登祥の靈地/1,皇祚登祥の靈地/1,神話,,,,,,,,,国府種徳,神国日向,九州風景協会,昭和 9,1934,https://dl.ndl.go.jp/pid/1234063,,,
神の國から神秘の國へ/7,神の國から神秘の國へ/7,神話,,,,,,,,,国府種徳,神国日向,九州風景協会,昭和 9,1934,https://dl.ndl.go.jp/pid/1234063,,,
霧島か高千穗か/12,霧島か高千穗か/12,神話,,,,,,,,,国府種徳,神国日向,九州風景協会,昭和 9,1934,https://dl.ndl.go.jp/pid/1234063,,,
霧島山の天然美/21,霧島山の天然美/21,神話,,,,,,,,,国府種徳,神国日向,九州風景協会,昭和 9,1934,https://dl.ndl.go.jp/pid/1234063,,,
霧島靈峰の尊嚴/25,霧島靈峰の尊嚴/25,神話,,,,,,,,,国府種徳,神国日向,九州風景協会,昭和 9,1934,https://dl.ndl.go.jp/pid/1234063,,,
宮崎神宮/30,宮崎神宮/30,神話,,宮崎市,,,,,,,国府種徳,神国日向,九州風景協会,昭和 9,1934,https://dl.ndl.go.jp/pid/1234063,,,
皇宮家/35,すめらぎみやけ/35,神話,,,,,,,,,国府種徳,神国日向,九州風景協会,昭和 9,1934,https://dl.ndl.go.jp/pid/1234063,,,
狹野神社/38,狹野神社/38,神話,,,,,,,,,国府種徳,神国日向,九州風景協会,昭和 9,1934,https://dl.ndl.go.jp/pid/1234063,,,
皇子原/41,皇子原/41,神話,,,,,,,,,国府種徳,神国日向,九州風景協会,昭和 9,1934,https://dl.ndl.go.jp/pid/1234063,,,
都嶋と都城臺地/45,つじまとみやこのじょううでなち/45,神話,,,,,,,,,国府種徳,神国日向,九州風景協会,昭和 9,1934,https://dl.ndl.go.jp/pid/1234063,,,
祖母山と四皇子ケ峯/47,祖母山と四皇子ケ峯/47,神話,,,,,,,,,国府種徳,神国日向,九州風景協会,昭和 9,1934,https://dl.ndl.go.jp/pid/1234063,,,
皇子原か四皇子ケ峯か/53,皇子原か四皇子ケ峯か/53,神話,,,,,,,,,国府種徳,神国日向,九州風景協会,昭和 9,1934,https://dl.ndl.go.jp/pid/1234063,,,
四皇子ケ峯と高千穗神社/71,四皇子ケ峯と高千穗神社/71,神話,,,,,,,,,国府種徳,神国日向,九州風景協会,昭和 9,1934,https://dl.ndl.go.jp/pid/1234063,,,
高千穗峽/76,高千穗峽/76,神話,,,,,,,,,国府種徳,神国日向,九州風景協会,昭和 9,1934,https://dl.ndl.go.jp/pid/1234063,,,
比叡山と矢筈嶽/79,比叡山と矢筈嶽/79,神話,延岡市,,,,,,,,国府種徳,神国日向,九州風景協会,昭和 9,1934,https://dl.ndl.go.jp/pid/1234063,,,
行縢山/81,むかばきやま/81,神話,延岡市,,,,,,,,国府種徳,神国日向,九州風景協会,昭和 9,1934,https://dl.ndl.go.jp/pid/1234063,,,
可愛山陵と可愛嶽の戰蹟/85,可愛山陵と可愛嶽の戰蹟/85,神話,延岡市,,,,,,,,国府種徳,神国日向,九州風景協会,昭和 9,1934,https://dl.ndl.go.jp/pid/1234063,,,
延岡市/87,延岡市/87,神話,延岡市,,,,,,,,国府種徳,神国日向,九州風景協会,昭和 9,1934,https://dl.ndl.go.jp/pid/1234063,,,
乙嶋/114,乙嶋/114,神話,延岡市,,,,,,,,国府種徳,神国日向,九州風景協会,昭和 9,1934,https://dl.ndl.go.jp/pid/1234063,,,
富高と伊勢ケ濱/116,富高と伊勢ケ濱/116,神話,日向市,,,,,,,,国府種徳,神国日向,九州風景協会,昭和 9,1934,https://dl.ndl.go.jp/pid/1234063,,,
美々津/118,美々津/118,神話,日向市,,,,,,,,国府種徳,神国日向,九州風景協会,昭和 9,1934,https://dl.ndl.go.jp/pid/1234063,,,
米良と椎葉/123,米良と椎葉/123,神話,,,,,,,,,国府種徳,神国日向,九州風景協会,昭和 9,1934,https://dl.ndl.go.jp/pid/1234063,,,
津農町と高鍋町/129,津農町と高鍋町/129,神話,高鍋町,,,,,,,,国府種徳,神国日向,九州風景協会,昭和 9,1934,https://dl.ndl.go.jp/pid/1234063,,,
廣瀨/131,ひろせ/131,神話,宮崎市,,,,,,,,国府種徳,神国日向,九州風景協会,昭和 9,1934,https://dl.ndl.go.jp/pid/1234063,,,
佐土原町と座論梅/133,さどわらちょうとざろんうめ/133,神話,宮崎市,,,,,,,,国府種徳,神国日向,九州風景協会,昭和 9,1934,https://dl.ndl.go.jp/pid/1234063,,,
國府と國分寺/135,國府と國分寺/135,神話,西都市,,,,,,,,国府種徳,神国日向,九州風景協会,昭和 9,1934,https://dl.ndl.go.jp/pid/1234063,,,
無戶室阯と丹裳小町/138,無戶室阯と丹裳小町/138,神話,西都市,,,,,,,,国府種徳,神国日向,九州風景協会,昭和 9,1934,https://dl.ndl.go.jp/pid/1234063,,,
妻町の都滿神社/141,妻町の都滿神社/141,神話,西都市,,,,,,,,国府種徳,神国日向,九州風景協会,昭和 9,1934,https://dl.ndl.go.jp/pid/1234063,,,
西都原の古墳群/145,西都原の古墳群/145,神話,西都市,,,,,,,,国府種徳,神国日向,九州風景協会,昭和 9,1934,https://dl.ndl.go.jp/pid/1234063,,,
本庄町の古墳と藥師/148,ほんじょうちょうのこふんとやくし/148,神話,国富町,,,,,,,,国府種徳,神国日向,九州風景協会,昭和 9,1934,https://dl.ndl.go.jp/pid/1234063,,,
宮崎市/150,宮崎市/150,神話,宮崎市,宮崎市,,,,,,,国府種徳,神国日向,九州風景協会,昭和 9,1934,https://dl.ndl.go.jp/pid/1234063,,,
小戸神社と檍ケ原/161,おどじんじゃとあおきケばら/161,神話,宮崎市,宮崎市,,,,,,,国府種徳,神国日向,九州風景協会,昭和 9,1934,https://dl.ndl.go.jp/pid/1234063,,,
靑島/163,あおしま/163,神話,宮崎市,宮崎市,,,,,,,国府種徳,神国日向,九州風景協会,昭和 9,1934,https://dl.ndl.go.jp/pid/1234063,,,
鵜戶神宮/179,鵜戶神宮/179,神話,日南市,,,,,,,,国府種徳,神国日向,九州風景協会,昭和 9,1934,https://dl.ndl.go.jp/pid/1234063,,,
梅ケ濱/182,梅ケ濱/182,神話,日南市,,,,,,,,国府種徳,神国日向,九州風景協会,昭和 9,1934,https://dl.ndl.go.jp/pid/1234063,,,
油津港と運河/184,油津港と運河/184,神話,日南市,,,,,,,,国府種徳,神国日向,九州風景協会,昭和 9,1934,https://dl.ndl.go.jp/pid/1234063,,,
都井岬と有朋灣/186,都井岬と有朋灣/186,神話,串間市,,,,,,,,国府種徳,神国日向,九州風景協会,昭和 9,1934,https://dl.ndl.go.jp/pid/1234063,,,
福島町/188,福島町/188,神話,串間市,,,,,,,,国府種徳,神国日向,九州風景協会,昭和 9,1934,https://dl.ndl.go.jp/pid/1234063,,,
飫肥/190,おび/190,神話,日南市,,,,,,,,国府種徳,神国日向,九州風景協会,昭和 9,1934,https://dl.ndl.go.jp/pid/1234063,,,
都城市/192,都城市/192,神話,都城市,,,,,,,,国府種徳,神国日向,九州風景協会,昭和 9,1934,https://dl.ndl.go.jp/pid/1234063,,,
關の尾の甌穴群/194,かんのおのおうけつぐん/194,神話,都城市,,,,,,,,国府種徳,神国日向,九州風景協会,昭和 9,1934,https://dl.ndl.go.jp/pid/1234063,,,
狗留孫峽(日向耶馬溪)/196,くるそんきょう（ひゅうがやばけい）,神話,えびの市,,,,,,,,国府種徳,神国日向,九州風景協会,昭和 9,1934,https://dl.ndl.go.jp/pid/1234063,,,
小林町と陰陽石/198,小林町と陰陽石/198,神話,小林市,,,,,,,,国府種徳,神国日向,九州風景協会,昭和 9,1934,https://dl.ndl.go.jp/pid/1234063,,,
京町溫泉鄕/200,きょうまちおんせんきょう,神話,えびの市,,,,,,,,国府種徳,神国日向,九州風景協会,昭和 9,1934,https://dl.ndl.go.jp/pid/1234063,,,
日向の今昔/205,日向の今昔/205,神話,,,,,,,,,国府種徳,神国日向,九州風景協会,昭和 9,1934,https://dl.ndl.go.jp/pid/1234063,,,
神武天皇の御東征(大古)/205,神武天皇の御東征(大古)/205,神話,,,,,,,,,国府種徳,神国日向,九州風景協会,昭和 9,1934,https://dl.ndl.go.jp/pid/1234063,,,
耳川の役(中古)/210,みみがわのえき,神話,,,,,,,,,国府種徳,神国日向,九州風景協会,昭和 9,1934,https://dl.ndl.go.jp/pid/1234063,,,
可愛岳(明治)/214,可愛岳(明治)/214,神話,,,,,,,,,国府種徳,神国日向,九州風景協会,昭和 9,1934,https://dl.ndl.go.jp/pid/1234063,,,
一本の白い道(現代)/220,一ほんのしろいみち(げんだい)/220,神話,,,,,,,,,国府種徳,神国日向,九州風景協会,昭和 9,1934,https://dl.ndl.go.jp/pid/1234063,,,
,,神話,,,,,,,,,野井槙太郎,天孫垂跡高千穂峯,野井槙太郎,昭和 9,1934,,,,
,,,,,,,,,,,関　敬吾,島原半島民話集,建設社,昭和10,1935,,,,
,,,,,,,,,,,,旅と伝説 24巻　昭和12年8月号,岩崎美術社,昭和12,1937,,,,
,,,日向市,,,,,,,,石川恒太郎 編,富島町史,富島町,昭和16,1941,https://dl.ndl.go.jp/pid/1042236/1/20,,,
,,,,,,,,,,,日高重孝,日向の山彦,文華堂,昭和16,1941,,,,
龍,龍,,,,,,,,日高輝寿,指切,,民間伝承　6巻10号,民間伝承の会,昭和16年,1941,怪異・妖怪伝承データベース,,,
阿波岐原と禊祓/7,阿波岐原と禊祓/7,伝説,,宮崎市,,,,,,,松山敏,神代の史蹟と日向の伝説　神の国伝説の国物語,文華堂,昭和17,1942,https://dl.ndl.go.jp/pid/1055755,,,
