タイトル,ふりがな,分類,現市町村,伝承地,キーワード,話者,採集者,引用,著者,論文名,著者・編者,文献名,出版社,和暦,西暦,リンク,県図書,デジコレ,備考
南方村（高天原所在地）及び附近の遺蹟と傳説/1,なんぽうむら（たかまがはらしょざいち）およびふきんのいせきとつたうせつ/1,伝説,延岡市,延岡市,,,,,,,山口徳之助,延岡附近神代遺蹟と伝説 : 秩父宮殿下御台臨記念,大成舎,大正14,1924,https://dl.ndl.go.jp/pid/918691,,,
一、　南方村小史/1,一、　南方村小史/1,伝説,延岡市,延岡市,,,,,,,山口徳之助,延岡附近神代遺蹟と伝説 : 秩父宮殿下御台臨記念,大成舎,大正14,1924,https://dl.ndl.go.jp/pid/918691,,,
二、　高天原/2,二、　高天原/2,伝説,延岡市,延岡市,,,,,,,山口徳之助,延岡附近神代遺蹟と伝説 : 秩父宮殿下御台臨記念,大成舎,大正14,1924,https://dl.ndl.go.jp/pid/918691,,,
三、　人見山、船見山/3,三、　人見山、船見山/3,伝説,延岡市,延岡市,,,,,,,山口徳之助,延岡附近神代遺蹟と伝説 : 秩父宮殿下御台臨記念,大成舎,大正14,1924,https://dl.ndl.go.jp/pid/918691,,,
四、　天宮（アメミヤ）/3,四、　天宮（アメミヤ）/3,伝説,延岡市,延岡市,,,,,,,山口徳之助,延岡附近神代遺蹟と伝説 : 秩父宮殿下御台臨記念,大成舎,大正14,1924,https://dl.ndl.go.jp/pid/918691,,,
五、　天下（アモリ）/4,五、　天下（アモリ）/4,伝説,延岡市,延岡市,,,,,,,山口徳之助,延岡附近神代遺蹟と伝説 : 秩父宮殿下御台臨記念,大成舎,大正14,1924,https://dl.ndl.go.jp/pid/918691,,,
六、　吉野神社/5,六、　吉野神社/5,伝説,延岡市,延岡市,,,,,,,山口徳之助,延岡附近神代遺蹟と伝説 : 秩父宮殿下御台臨記念,大成舎,大正14,1924,https://dl.ndl.go.jp/pid/918691,,,
七、　田宮（タミヤ）/6,七、　たみや（タミヤ）/6,伝説,延岡市,延岡市,,,,,,,山口徳之助,延岡附近神代遺蹟と伝説 : 秩父宮殿下御台臨記念,大成舎,大正14,1924,https://dl.ndl.go.jp/pid/918691,,,
八、　高野神社/6,八、　高野神社/6,伝説,延岡市,延岡市,,,,,,,山口徳之助,延岡附近神代遺蹟と伝説 : 秩父宮殿下御台臨記念,大成舎,大正14,1924,https://dl.ndl.go.jp/pid/918691,,,
九、　今井野（イマイノ）/8,九、　今井野（イマイノ）/8,伝説,延岡市,延岡市,,,,,,,山口徳之助,延岡附近神代遺蹟と伝説 : 秩父宮殿下御台臨記念,大成舎,大正14,1924,https://dl.ndl.go.jp/pid/918691,,,
一〇、　舞野（マイノ）/8,一〇、　舞野（マイノ）/8,伝説,延岡市,延岡市,,,,,,,山口徳之助,延岡附近神代遺蹟と伝説 : 秩父宮殿下御台臨記念,大成舎,大正14,1924,https://dl.ndl.go.jp/pid/918691,,,
一一、　下舞野神社（一名、嶽宮）/9,一一、　下舞野神社（一名、嶽宮）/9,伝説,延岡市,延岡市,,,,,,,山口徳之助,延岡附近神代遺蹟と伝説 : 秩父宮殿下御台臨記念,大成舎,大正14,1924,https://dl.ndl.go.jp/pid/918691,,,
一二、　行縢山の遺蹟と遺物/9,一二、　行縢山の遺蹟と遺物/9,伝説,延岡市,延岡市,,,,,,,山口徳之助,延岡附近神代遺蹟と伝説 : 秩父宮殿下御台臨記念,大成舎,大正14,1924,https://dl.ndl.go.jp/pid/918691,,,
